"date","platform","campaign","topic","source","medium","content","trackedUrl","successSignal"
"2026-06-20","Naver Blog","certification-patent-funding-sequence","기업인증·특허·정책자금 준비 순서","naver","blog","naver_blog","https://grantlabs.co.kr/checklist.html?utm_source=naver&utm_medium=blog&utm_campaign=certification-patent-funding-sequence&utm_content=naver_blog","Search impressions, checklist clicks, inquiry clicks"
"2026-06-20","Instagram Carousel","certification-patent-funding-sequence","기업인증·특허·정책자금 준비 순서","instagram","social_carousel","instagram_carousel","https://grantlabs.co.kr/checklist.html?utm_source=instagram&utm_medium=social_carousel&utm_campaign=certification-patent-funding-sequence&utm_content=instagram_carousel","Ask viewers to save the checklist and request diagnosis through the homepage"
"2026-06-20","Instagram Reels","certification-patent-funding-sequence","기업인증·특허·정책자금 준비 순서","instagram","short_video","instagram_reels","https://grantlabs.co.kr/checklist.html?utm_source=instagram&utm_medium=short_video&utm_campaign=certification-patent-funding-sequence&utm_content=instagram_reels","Comment or visit the checklist link before applying"
"2026-06-20","YouTube Shorts","certification-patent-funding-sequence","기업인증·특허·정책자금 준비 순서","youtube","short_video","youtube_shorts","https://grantlabs.co.kr/checklist.html?utm_source=youtube&utm_medium=short_video&utm_campaign=certification-patent-funding-sequence&utm_content=youtube_shorts","Watch the related long video or open the consultation checklist"
"2026-06-20","YouTube Long-form","certification-patent-funding-sequence","기업인증·특허·정책자금 준비 순서","youtube","video","youtube_long","https://grantlabs.co.kr/checklist.html?utm_source=youtube&utm_medium=video&utm_campaign=certification-patent-funding-sequence&utm_content=youtube_long","Download or open the checklist before consultation"
"2026-06-20","TikTok","certification-patent-funding-sequence","기업인증·특허·정책자금 준비 순서","tiktok","short_video","tiktok","https://grantlabs.co.kr/checklist.html?utm_source=tiktok&utm_medium=short_video&utm_campaign=certification-patent-funding-sequence&utm_content=tiktok","Ask viewers to check one condition and move to the homepage"
"2026-06-20","Facebook Page","certification-patent-funding-sequence","기업인증·특허·정책자금 준비 순서","facebook","social_post","facebook_page","https://grantlabs.co.kr/checklist.html?utm_source=facebook&utm_medium=social_post&utm_campaign=certification-patent-funding-sequence&utm_content=facebook_page","Call or send a consultation inquiry"
"2026-06-20","LinkedIn Page","certification-patent-funding-sequence","기업인증·특허·정책자금 준비 순서","linkedin","social_post","linkedin_page","https://grantlabs.co.kr/checklist.html?utm_source=linkedin&utm_medium=social_post&utm_campaign=certification-patent-funding-sequence&utm_content=linkedin_page","Invite founders and executives to review readiness before applying"
"2026-06-21","Naver Blog","consultation-checklist-conversion","상담 준비 체크리스트 기반 진단 상담 전환","naver","blog","naver_blog","https://grantlabs.co.kr/checklist.html?utm_source=naver&utm_medium=blog&utm_campaign=consultation-checklist-conversion&utm_content=naver_blog","Search impressions, checklist clicks, inquiry clicks"
"2026-06-21","Instagram Carousel","consultation-checklist-conversion","상담 준비 체크리스트 기반 진단 상담 전환","instagram","social_carousel","instagram_carousel","https://grantlabs.co.kr/checklist.html?utm_source=instagram&utm_medium=social_carousel&utm_campaign=consultation-checklist-conversion&utm_content=instagram_carousel","Ask viewers to save the checklist and request diagnosis through the homepage"
"2026-06-21","Instagram Reels","consultation-checklist-conversion","상담 준비 체크리스트 기반 진단 상담 전환","instagram","short_video","instagram_reels","https://grantlabs.co.kr/checklist.html?utm_source=instagram&utm_medium=short_video&utm_campaign=consultation-checklist-conversion&utm_content=instagram_reels","Comment or visit the checklist link before applying"
"2026-06-21","YouTube Shorts","consultation-checklist-conversion","상담 준비 체크리스트 기반 진단 상담 전환","youtube","short_video","youtube_shorts","https://grantlabs.co.kr/checklist.html?utm_source=youtube&utm_medium=short_video&utm_campaign=consultation-checklist-conversion&utm_content=youtube_shorts","Watch the related long video or open the consultation checklist"
"2026-06-21","YouTube Long-form","consultation-checklist-conversion","상담 준비 체크리스트 기반 진단 상담 전환","youtube","video","youtube_long","https://grantlabs.co.kr/checklist.html?utm_source=youtube&utm_medium=video&utm_campaign=consultation-checklist-conversion&utm_content=youtube_long","Download or open the checklist before consultation"
"2026-06-21","TikTok","consultation-checklist-conversion","상담 준비 체크리스트 기반 진단 상담 전환","tiktok","short_video","tiktok","https://grantlabs.co.kr/checklist.html?utm_source=tiktok&utm_medium=short_video&utm_campaign=consultation-checklist-conversion&utm_content=tiktok","Ask viewers to check one condition and move to the homepage"
"2026-06-21","Facebook Page","consultation-checklist-conversion","상담 준비 체크리스트 기반 진단 상담 전환","facebook","social_post","facebook_page","https://grantlabs.co.kr/checklist.html?utm_source=facebook&utm_medium=social_post&utm_campaign=consultation-checklist-conversion&utm_content=facebook_page","Call or send a consultation inquiry"
"2026-06-21","LinkedIn Page","consultation-checklist-conversion","상담 준비 체크리스트 기반 진단 상담 전환","linkedin","social_post","linkedin_page","https://grantlabs.co.kr/checklist.html?utm_source=linkedin&utm_medium=social_post&utm_campaign=consultation-checklist-conversion&utm_content=linkedin_page","Invite founders and executives to review readiness before applying"
"2026-06-18","Naver Blog","grantlabs-growth-check","정책자금·기업인증 신청 전 준비도 점검","naver","blog","naver_blog","https://grantlabs.co.kr/checklist.html?utm_source=naver&utm_medium=blog&utm_campaign=grantlabs-growth-check&utm_content=naver_blog","Search impressions, checklist clicks, inquiry clicks"
"2026-06-18","Instagram Carousel","grantlabs-growth-check","정책자금·기업인증 신청 전 준비도 점검","instagram","social_carousel","instagram_carousel","https://grantlabs.co.kr/checklist.html?utm_source=instagram&utm_medium=social_carousel&utm_campaign=grantlabs-growth-check&utm_content=instagram_carousel","Ask viewers to save the checklist and request diagnosis through the homepage"
"2026-06-18","Instagram Reels","grantlabs-growth-check","정책자금·기업인증 신청 전 준비도 점검","instagram","short_video","instagram_reels","https://grantlabs.co.kr/checklist.html?utm_source=instagram&utm_medium=short_video&utm_campaign=grantlabs-growth-check&utm_content=instagram_reels","Comment or visit the checklist link before applying"
"2026-06-18","YouTube Shorts","grantlabs-growth-check","정책자금·기업인증 신청 전 준비도 점검","youtube","short_video","youtube_shorts","https://grantlabs.co.kr/checklist.html?utm_source=youtube&utm_medium=short_video&utm_campaign=grantlabs-growth-check&utm_content=youtube_shorts","Watch the related long video or open the consultation checklist"
"2026-06-18","YouTube Long-form","grantlabs-growth-check","정책자금·기업인증 신청 전 준비도 점검","youtube","video","youtube_long","https://grantlabs.co.kr/checklist.html?utm_source=youtube&utm_medium=video&utm_campaign=grantlabs-growth-check&utm_content=youtube_long","Download or open the checklist before consultation"
"2026-06-18","TikTok","grantlabs-growth-check","정책자금·기업인증 신청 전 준비도 점검","tiktok","short_video","tiktok","https://grantlabs.co.kr/checklist.html?utm_source=tiktok&utm_medium=short_video&utm_campaign=grantlabs-growth-check&utm_content=tiktok","Ask viewers to check one condition and move to the homepage"
"2026-06-18","Facebook Page","grantlabs-growth-check","정책자금·기업인증 신청 전 준비도 점검","facebook","social_post","facebook_page","https://grantlabs.co.kr/checklist.html?utm_source=facebook&utm_medium=social_post&utm_campaign=grantlabs-growth-check&utm_content=facebook_page","Call or send a consultation inquiry"
"2026-06-18","LinkedIn Page","grantlabs-growth-check","정책자금·기업인증 신청 전 준비도 점검","linkedin","social_post","linkedin_page","https://grantlabs.co.kr/checklist.html?utm_source=linkedin&utm_medium=social_post&utm_campaign=grantlabs-growth-check&utm_content=linkedin_page","Invite founders and executives to review readiness before applying"
"2026-06-19","Naver Blog","rnd-center-funding-bridge","기업부설연구소 준비와 정책자금 연결 전략","naver","blog","naver_blog","https://grantlabs.co.kr/checklist.html?utm_source=naver&utm_medium=blog&utm_campaign=rnd-center-funding-bridge&utm_content=naver_blog","Search impressions, checklist clicks, inquiry clicks"
"2026-06-19","Instagram Carousel","rnd-center-funding-bridge","기업부설연구소 준비와 정책자금 연결 전략","instagram","social_carousel","instagram_carousel","https://grantlabs.co.kr/checklist.html?utm_source=instagram&utm_medium=social_carousel&utm_campaign=rnd-center-funding-bridge&utm_content=instagram_carousel","Ask viewers to save the checklist and request diagnosis through the homepage"
"2026-06-19","Instagram Reels","rnd-center-funding-bridge","기업부설연구소 준비와 정책자금 연결 전략","instagram","short_video","instagram_reels","https://grantlabs.co.kr/checklist.html?utm_source=instagram&utm_medium=short_video&utm_campaign=rnd-center-funding-bridge&utm_content=instagram_reels","Comment or visit the checklist link before applying"
"2026-06-19","YouTube Shorts","rnd-center-funding-bridge","기업부설연구소 준비와 정책자금 연결 전략","youtube","short_video","youtube_shorts","https://grantlabs.co.kr/checklist.html?utm_source=youtube&utm_medium=short_video&utm_campaign=rnd-center-funding-bridge&utm_content=youtube_shorts","Watch the related long video or open the consultation checklist"
"2026-06-19","YouTube Long-form","rnd-center-funding-bridge","기업부설연구소 준비와 정책자금 연결 전략","youtube","video","youtube_long","https://grantlabs.co.kr/checklist.html?utm_source=youtube&utm_medium=video&utm_campaign=rnd-center-funding-bridge&utm_content=youtube_long","Download or open the checklist before consultation"
"2026-06-19","TikTok","rnd-center-funding-bridge","기업부설연구소 준비와 정책자금 연결 전략","tiktok","short_video","tiktok","https://grantlabs.co.kr/checklist.html?utm_source=tiktok&utm_medium=short_video&utm_campaign=rnd-center-funding-bridge&utm_content=tiktok","Ask viewers to check one condition and move to the homepage"
"2026-06-19","Facebook Page","rnd-center-funding-bridge","기업부설연구소 준비와 정책자금 연결 전략","facebook","social_post","facebook_page","https://grantlabs.co.kr/checklist.html?utm_source=facebook&utm_medium=social_post&utm_campaign=rnd-center-funding-bridge&utm_content=facebook_page","Call or send a consultation inquiry"
"2026-06-19","LinkedIn Page","rnd-center-funding-bridge","기업부설연구소 준비와 정책자금 연결 전략","linkedin","social_post","linkedin_page","https://grantlabs.co.kr/checklist.html?utm_source=linkedin&utm_medium=social_post&utm_campaign=rnd-center-funding-bridge&utm_content=linkedin_page","Invite founders and executives to review readiness before applying"